label,g (m/s2),stat uncert,sys uncert,total uncert
22.Sep.B.B02.02,9.85,0.01,0.05,
22.Sep.B.B02.03,9.835,,,0.015
22.Sep.B.B02.04,9.63,0.043,0.00013,
22.Sep.B.B02.05,10.14,,,0.01
22.Sep.B.B02.06,9.74838,,,0.000025
22.Sep.B.B02.07,9.67,,,0.18
22.Sep.B.B02.08,9.806,,,
22.Sep.B.B02.09,9.82,0.01,0.02,
22.Sep.B.B02.10,9.739,,,0.129
22.Sep.B.B02.11,9.814,0.009,0.004,
22.Sep.B.B02.12,9.59,,,0.04
22.Sep.B.B03.01,9.802,,,0.007
22.Sep.B.B03.02,9.81,0.05,0.12,
22.Sep.B.B03.03,9.857,,,0.054
22.Sep.B.B03.04,9.59,,,0.04
22.Sep.B.B03.05,9.84,0.018,0.02,
22.Sep.B.B03.06,9.8,,,0.05
22.Sep.B.B03.07,9.02,,,0.23
22.Sep.B.B03.08,9.69,,,0.17
22.Sep.B.B03.09,9.88,,,0.02
22.Sep.B.B03.10,9.824,0.014,0.014,
22.Sep.B.B04.01,9.8,0.4,0.3,
22.Sep.B.B04.02,10.112,0.308,0.588,
22.Sep.B.B04.03,9.87,0.22,0.05,
22.Sep.B.B04.04,9.58,0.15,0.29,
22.Sep.B.B04.05,9.915,0.009,0.0125,
22.Sep.B.B04.06,9.78,0.027,0.033,
22.Sep.B.B04.07,9.82,0.01,0.13,
23.Feb.A.B01.01,9.75,,,0.25
23.Feb.A.B01.02,9.82,,,0.37
23.Feb.A.B01.03,10.08,,,"""+0.14,-0.37"""
23.Feb.A.B01.04,9.67,,,0.35
23.Feb.A.B01.05,8.68,,,0.51
23.Feb.A.B01.06,9.56,,,0.14
23.Feb.A.B01.07,9.9,,,0.16
23.Feb.A.B01.08,8.84,,,0.6
23.Feb.A.B02.01,9,,,2
23.Feb.A.B02.02,15.7,,,3.9
23.Feb.A.B02.03,9.86,,,0.14
23.Feb.A.B02.04,9.83,0.41,0.27,
23.Feb.A.B02.05,10.44,,,0.36
23.Feb.A.B02.06,8.5,,,0.3
23.Feb.A.B02.07,10.9,,,1.3
23.Feb.A.B02.08,9.55,,,0.13
23.Feb.A.B02.09,10.11,,,0.23
23.Feb.B.B01.01,9.796,0.004,0.02,
23.Feb.B.B01.02,9.75,0.14,0.15,0.21
23.Feb.B.B01.03,9.815,0.376,0.0069,
23.Feb.B.B01.04,9.64,0.00505,,
23.Feb.B.B01.05,9.807,,,0.008
23.Feb.B.B01.06,9.83,0.01,0.33,
23.Feb.B.B01.07,9.832,0.002,0.044,
23.Feb.B.B01.08,9.801,,,0.011
23.Feb.B.B02.01,9.92,,,0.06
23.Feb.B.B02.02,9.84,0.027,1.801,
23.Feb.B.B02.03,9.83,0.04,0.16,
23.Feb.B.B02.04,9.712,0.061,0.083,
23.Feb.B.B02.05,9.64,"""2%""","""1.5%""",
23.Feb.B.B02.06,9.67,,,0.27
23.Feb.B.B02.07,9.64,,,0.45
23.Feb.B.B02.08,9.805635,,,0.022997
23.Feb.B.B02.09,9.81,0.04,0.04,
23.Sep.A.B01.01,9.9,0.03,0.04,
23.Sep.A.B01.02,10.3,0.415,1.7,2.1
23.Sep.A.B01.03,10.13,0.18,0.03,
23.Sep.A.B01.04,9.77,0.089,,0.6
23.Sep.A.B01.05,8.99,,,0.45
23.Sep.A.B01.06,10,,,1
23.Sep.A.B01.07,8.36,0.67,0.1,
23.Sep.A.B01.08,9.43,0.395,0.56,
23.Sep.A.B01.09,10,,,0.01
23.Sep.A.B01.10,9.3,,,0.3
23.Sep.A.B02.00,10.8,,,0.35
23.Sep.A.B02.01,9.844,,,0.036
23.Sep.A.B02.02,9.89,,,0.05
23.Sep.A.B02.03,10.1,,,0.3
23.Sep.A.B02.04,9.99,,,0.09
23.Sep.A.B02.05,10.5,0.5,0.05,
23.Sep.A.B02.06,9.84,,,0.14
23.Sep.A.B02.07,9.73,,,0.04
23.Sep.A.B02.08,8.84,,,0.074
23.Sep.A.B02.09,6.95,,,1.07
23.Sep.A.B02.10,10.2,,,0.2
23.Sep.A.B02.11,10.5,,,0.8
23.Sep.A.B02.12,9.7,,,0.24
23.Sep.A.B02.13,10.14,0.045,0.815,
23.Sep.A.B03.01,9.79,0.09,0.05,
23.Sep.A.B03.02,10,0.65,2.97,
23.Sep.A.B03.03,11.418,,,0.562
23.Sep.A.B03.04,10.022,0.11,0.0046,
23.Sep.A.B03.05,9.7,,,0.61
23.Sep.A.B03.06,11.28,,,0.57
23.Sep.A.B03.07,9.83,,,0.03
23.Sep.A.B03.08,10.18,,,0.21
23.Sep.A.B03.09,9.5,,,0.7
23.Sep.A.B04.01,9.84,0.056,,0.056
23.Sep.A.B04.02,9.8,0.2,,0.45
23.Sep.A.B04.03,9.58,0.03,0.44,0.47
23.Sep.A.B04.04,9.8,0.16,0.2,0.36
